============================================================
z_global + minSize (F4, F7, F8)
============================================================
| Point(j,k) | index_z0(j-1) || Point(j,k) | index_z2(j+1) || Point(j,k) | index_z0 && z2  |
| ( 21, 11) |      4.359721 || (216,  9) |      5.963912 || ( 63,  4) |  4.000, 4.000 |
| ( 21, 12) |      5.784858 || (217,  7) |      3.247074 || ( 63,  5) |  5.000, 5.000 |
| ( 22, 11) |      4.389526 || (217,  8) |      4.470513 || ( 63,  6) |  6.000, 6.000 |
| ( 22, 12) |      5.812400 || (217,  9) |      5.678972 || ( 64,  4) |  4.000, 4.000 |
| ( 23, 10) |      3.055929 || (218,  8) |      4.157113 || ( 64,  5) |  5.000, 5.000 |
| ( 23, 11) |      4.505303 || (218,  9) |      5.386058 || ( 64,  6) |  6.000, 6.000 |
| ( 23, 12) |      5.919419 || (219,  8) |      3.848969 || ( 65,  4) |  4.000, 4.000 |
| ( 24, 10) |      3.262612 || (219,  9) |      5.098394 || ( 65,  5) |  5.000, 5.000 |
| ( 24, 11) |      4.696078 || (220,  8) |      3.557200 || ( 65,  6) |  6.000, 6.000 |
| ( 25, 10) |      3.485803 || (220,  9) |      4.826328 || ( 66,  4) |  4.000, 4.000 |
| ( 25, 11) |      4.902285 || (221,  8) |      3.283299 || ( 66,  5) |  5.000, 5.000 |
| ( 26, 10) |      3.689011 || (221,  9) |      4.571204 || ( 66,  6) |  6.000, 6.000 |
| ( 26, 11) |      5.090202 || (221, 10) |      5.838861 || ( 67,  4) |  4.000, 4.000 |
| ( 27, 10) |      3.873206 || (222,  8) |      3.028668 || ( 67,  5) |  5.000, 5.000 |
| ( 27, 11) |      5.260678 || (222,  9) |      4.334276 || ( 67,  6) |  6.000, 6.000 |
| ( 28, 10) |      4.039731 || (222, 10) |      5.618117 || ( 68,  4) |  4.000, 4.000 |
| ( 28, 11) |      5.414914 || (223,  9) |      4.116900 || ( 68,  5) |  5.000, 5.000 |
| ( 29, 10) |      4.189774 || (223, 10) |      5.415769 || ( 68,  6) |  6.000, 6.000 |
| ( 29, 11) |      5.553978 || (224,  9) |      3.920523 || ( 69,  4) |  4.000, 4.000 |
| ( 30, 10) |      4.324393 || (224, 10) |      5.233118 || ( 69,  5) |  5.000, 5.000 |
| ( 30, 11) |      5.678819 || (225,  9) |      3.746671 || ( 69,  6) |  6.000, 6.000 |
| ( 31,  9) |      3.070872 || (225, 10) |      5.071538 || ( 70,  4) |  4.000, 4.000 |
| ( 31, 10) |      4.444531 || (226,  9) |      3.596933 || ( 70,  5) |  5.000, 5.000 |
| ( 31, 11) |      5.790290 || (226, 10) |      4.932460 || ( 70,  6) |  6.000, 6.000 |
| ( 32,  9) |      3.185796 || (227,  9) |      3.472938 || ( 71,  4) |  4.000, 4.000 |
| ( 32, 10) |      4.551034 || (227, 10) |      4.817358 || ( 71,  5) |  5.000, 5.000 |
| ( 32, 11) |      5.889155 || (228,  9) |      3.375581 || ( 71,  6) |  6.000, 6.000 |
| ( 33,  9) |      3.286783 || (228, 10) |      4.727024 || ( 72,  4) |  4.000, 4.000 |
| ( 33, 10) |      4.644663 || (229,  9) |      3.286783 || ( 72,  5) |  5.000, 5.000 |
| ( 33, 11) |      5.976105 || (229, 10) |      4.644663 || ( 72,  6) |  6.000, 6.000 |
| ( 34,  9) |      3.375581 || (229, 11) |      5.976105 || ( 73,  4) |  4.000, 4.000 |
| ( 34, 10) |      4.727024 || (230,  9) |      3.185796 || ( 73,  5) |  5.000, 5.000 |
| ( 35,  9) |      3.472938 || (230, 10) |      4.551034 || ( 73,  6) |  6.000, 6.000 |
| ( 35, 10) |      4.817358 || (230, 11) |      5.889155 || ( 74,  4) |  4.000, 4.000 |
| ( 36,  9) |      3.596933 || (231,  9) |      3.070872 || ( 74,  5) |  5.000, 5.000 |
| ( 36, 10) |      4.932460 || (231, 10) |      4.444531 || ( 74,  6) |  6.000, 6.000 |
| ( 37,  9) |      3.746671 || (231, 11) |      5.790290 || ( 75,  4) |  4.000, 4.000 |
| ( 37, 10) |      5.071538 || (232, 10) |      4.324393 || ( 75,  5) |  5.000, 5.000 |
| ( 38,  9) |      3.920523 || (232, 11) |      5.678819 || ( 75,  6) |  6.000, 6.000 |
| ( 38, 10) |      5.233118 || (233, 10) |      4.189774 || ( 76,  4) |  4.000, 4.000 |
| ( 39,  9) |      4.116900 || (233, 11) |      5.553978 || ( 76,  5) |  5.000, 5.000 |
| ( 39, 10) |      5.415769 || (234, 10) |      4.039731 || ( 76,  6) |  6.000, 6.000 |
| ( 40,  8) |      3.028668 || (234, 11) |      5.414914 || ( 77,  4) |  4.000, 4.000 |
| ( 40,  9) |      4.334276 || (235, 10) |      3.873206 || ( 77,  5) |  5.000, 5.000 |
| ( 40, 10) |      5.618117 || (235, 11) |      5.260678 || ( 77,  6) |  6.000, 6.000 |
| ( 41,  8) |      3.283299 || (236, 10) |      3.689011 || ( 78,  4) |  4.000, 4.000 |
| ( 41,  9) |      4.571204 || (236, 11) |      5.090202 || ( 78,  5) |  5.000, 5.000 |
| ( 41, 10) |      5.838861 || (237, 10) |      3.485803 || ( 78,  6) |  6.000, 6.000 |
| ( 42,  8) |      3.557200 || (237, 11) |      4.902285 || ( 79,  4) |  4.000, 4.000 |
| ( 42,  9) |      4.826328 || (238, 10) |      3.262612 || ( 79,  5) |  5.000, 5.000 |
| ( 43,  8) |      3.848969 || (238, 11) |      4.696078 || ( 79,  6) |  6.000, 6.000 |
| ( 43,  9) |      5.098394 || (239, 10) |      3.055929 || ( 80,  4) |  4.000, 4.000 |
| ( 44,  8) |      4.157113 || (239, 11) |      4.505303 || ( 80,  5) |  5.000, 5.000 |
| ( 44,  9) |      5.386058 || (239, 12) |      5.919419 || ( 80,  6) |  6.000, 6.000 |
| ( 45,  7) |      3.247074 || (240, 11) |      4.389526 || ( 81,  4) |  4.000, 4.000 |
| ( 45,  8) |      4.470513 || (240, 12) |      5.812400 || ( 81,  5) |  5.000, 5.000 |
| ( 45,  9) |      5.678972 || (241, 11) |      4.359721 || ( 81,  6) |  6.000, 6.000 |
| ( 46,  7) |      3.572818 || (241, 12) |      5.784858 || ( 82,  4) |  4.000, 4.000 |
| ( 46,  8) |      4.775034 || (242, 11) |      4.420969 || ( 82,  5) |  5.000, 5.000 |
| ( 46,  9) |      5.963912 || (242, 12) |      5.841459 || ( 82,  6) |  6.000, 6.000 |
| ( 47,  7) |      3.888458 || (243, 10) |      3.133723 || ( 83,  4) |  4.000, 4.000 |
| ( 47,  8) |      5.070458 || (243, 11) |      4.577090 || ( 83,  5) |  5.000, 5.000 |
| ( 48,  6) |      3.021000 || (243, 12) |      5.985802 || ( 83,  6) |  6.000, 6.000 |
| ( 48,  7) |      4.194914 || (244, 10) |      3.407944 || ( 84,  4) |  4.000, 4.000 |
| ( 48,  8) |      5.357610 || (244, 11) |      4.830328 || ( 84,  5) |  5.000, 5.000 |
| ( 49,  6) |      3.339032 || (245, 10) |      3.791846 || ( 84,  6) |  6.000, 6.000 |
| ( 49,  7) |      4.493026 || (245, 11) |      5.185361 || ( 85,  4) |  4.000, 4.000 |
| ( 49,  8) |      5.637245 || (246, 10) |      4.292561 || ( 85,  5) |  5.000, 5.000 |
| ( 50,  6) |      3.648641 || (246, 11) |      5.649293 || ( 85,  6) |  6.000, 6.000 |
| ( 50,  7) |      4.783566 || (247,  9) |      3.568003 || ( 86,  4) |  4.000, 4.000 |
| ( 50,  8) |      5.910058 || (247, 10) |      4.905600 || ( 86,  5) |  5.000, 5.000 |
| ( 51,  6) |      3.950615 || (248,  8) |      3.033577 || ( 86,  6) |  6.000, 6.000 |
| ( 51,  7) |      5.067243 || (248,  9) |      4.338842 || ( 87,  4) |  4.000, 4.000 |
| ( 52,  5) |      3.140217 || (248, 10) |      5.622369 || ( 87,  5) |  5.000, 5.000 |
| ( 52,  6) |      4.245681 || (249,  8) |      3.964719 || ( 87,  6) |  6.000, 6.000 |
| ( 52,  7) |      5.344715 || (249,  9) |      5.206411 || ( 88,  4) |  4.000, 4.000 |
| ( 53,  5) |      3.447191 || (250,  7) |      3.729912 || ( 88,  5) |  5.000, 5.000 |
| ( 53,  6) |      4.534512 || (250,  8) |      4.922024 || ( 88,  6) |  6.000, 6.000 |
| ( 53,  7) |      5.616591 || (251,  6) |      3.467932 || ( 89,  4) |  4.000, 4.000 |
| ( 54,  6) |      4.817734 || (251,  7) |      4.613949 || ( 89,  5) |  5.000, 5.000 |
| ( 54,  7) |      5.883441 || (251,  8) |      5.750756 || ( 89,  6) |  6.000, 6.000 |
| ( 55,  6) |      5.095931 || (252,  5) |      3.140493 || ( 90,  4) |  4.000, 4.000 |
| ( 56,  6) |      5.369650 || (252,  6) |      4.245941 || ( 90,  5) |  5.000, 5.000 |
| ( 57,  6) |      5.639408 || (252,  7) |      5.344959 || ( 90,  6) |  6.000, 6.000 |
| (207,  4) |      4.679176 || (253,  5) |      3.806121 || ( 91,  4) |  4.000, 4.000 |
| (208,  4) |      4.959247 || (253,  6) |      4.872605 || ( 91,  5) |  5.000, 5.000 |
| (209,  4) |      5.235285 || (253,  7) |      5.935169 || ( 91,  6) |  6.000, 6.000 |
| (210,  4) |      5.507791 || (254,  5) |      4.321953 || ( 92,  4) |  4.000, 4.000 |
| (211,  4) |      5.777240 || (254,  6) |      5.359186 || ( 92,  5) |  5.000, 5.000 |
| (253,  4) |      5.777001 || (255,  6) |      5.757652 || ( 92,  6) |  6.000, 6.000 |
|            |               ||            |               || ( 93,  4) |  4.000, 4.000 |
|            |               ||            |               || ( 93,  5) |  5.000, 5.000 |
|            |               ||            |               || ( 93,  6) |  6.000, 6.000 |
|            |               ||            |               || ( 94,  4) |  4.000, 4.000 |
|            |               ||            |               || ( 94,  5) |  5.000, 5.000 |
|            |               ||            |               || ( 94,  6) |  6.000, 6.000 |
|            |               ||            |               || ( 95,  4) |  4.000, 4.000 |
|            |               ||            |               || ( 95,  5) |  5.000, 5.000 |
|            |               ||            |               || ( 95,  6) |  6.000, 6.000 |
|            |               ||            |               || ( 96,  4) |  4.000, 4.000 |
|            |               ||            |               || ( 96,  5) |  5.000, 5.000 |
|            |               ||            |               || ( 96,  6) |  6.000, 6.000 |
|            |               ||            |               || ( 97,  4) |  4.000, 4.000 |
|            |               ||            |               || ( 97,  5) |  5.000, 5.000 |
|            |               ||            |               || ( 97,  6) |  6.000, 6.000 |
|            |               ||            |               || ( 98,  4) |  4.000, 4.000 |
|            |               ||            |               || ( 98,  5) |  5.000, 5.000 |
|            |               ||            |               || ( 98,  6) |  6.000, 6.000 |
|            |               ||            |               || ( 99,  4) |  4.000, 4.000 |
|            |               ||            |               || ( 99,  5) |  5.000, 5.000 |
|            |               ||            |               || ( 99,  6) |  6.000, 6.000 |
|            |               ||            |               || (100,  4) |  4.000, 4.000 |
|            |               ||            |               || (100,  5) |  5.000, 5.000 |
|            |               ||            |               || (100,  6) |  6.000, 6.000 |
|            |               ||            |               || (101,  4) |  4.000, 4.000 |
|            |               ||            |               || (101,  5) |  5.000, 5.000 |
|            |               ||            |               || (101,  6) |  6.000, 6.000 |
|            |               ||            |               || (102,  4) |  4.000, 4.000 |
|            |               ||            |               || (102,  5) |  5.000, 5.000 |
|            |               ||            |               || (102,  6) |  6.000, 6.000 |
|            |               ||            |               || (103,  4) |  4.000, 4.000 |
|            |               ||            |               || (103,  5) |  5.000, 5.000 |
|            |               ||            |               || (103,  6) |  6.000, 6.000 |
|            |               ||            |               || (104,  4) |  4.000, 4.000 |
|            |               ||            |               || (104,  5) |  5.000, 5.000 |
|            |               ||            |               || (104,  6) |  6.000, 6.000 |
|            |               ||            |               || (105,  4) |  4.000, 4.000 |
|            |               ||            |               || (105,  5) |  5.000, 5.000 |
|            |               ||            |               || (105,  6) |  6.000, 6.000 |
|            |               ||            |               || (106,  4) |  4.000, 4.000 |
|            |               ||            |               || (106,  5) |  5.000, 5.000 |
|            |               ||            |               || (106,  6) |  6.000, 6.000 |
|            |               ||            |               || (107,  4) |  4.000, 4.000 |
|            |               ||            |               || (107,  5) |  5.000, 5.000 |
|            |               ||            |               || (107,  6) |  6.000, 6.000 |
|            |               ||            |               || (108,  4) |  4.000, 4.000 |
|            |               ||            |               || (108,  5) |  5.000, 5.000 |
|            |               ||            |               || (108,  6) |  6.000, 6.000 |
|            |               ||            |               || (109,  4) |  4.000, 4.000 |
|            |               ||            |               || (109,  5) |  5.000, 5.000 |
|            |               ||            |               || (109,  6) |  6.000, 6.000 |
|            |               ||            |               || (110,  4) |  4.000, 4.000 |
|            |               ||            |               || (110,  5) |  5.000, 5.000 |
|            |               ||            |               || (110,  6) |  6.000, 6.000 |
|            |               ||            |               || (111,  4) |  4.000, 4.000 |
|            |               ||            |               || (111,  5) |  5.000, 5.000 |
|            |               ||            |               || (111,  6) |  6.000, 6.000 |
|            |               ||            |               || (112,  4) |  4.000, 4.000 |
|            |               ||            |               || (112,  5) |  5.000, 5.000 |
|            |               ||            |               || (112,  6) |  6.000, 6.000 |
|            |               ||            |               || (113,  4) |  4.000, 4.000 |
|            |               ||            |               || (113,  5) |  5.000, 5.000 |
|            |               ||            |               || (113,  6) |  6.000, 6.000 |
|            |               ||            |               || (114,  4) |  4.000, 4.000 |
|            |               ||            |               || (114,  5) |  5.000, 5.000 |
|            |               ||            |               || (114,  6) |  6.000, 6.000 |
|            |               ||            |               || (115,  4) |  4.000, 4.000 |
|            |               ||            |               || (115,  5) |  5.000, 5.000 |
|            |               ||            |               || (115,  6) |  6.000, 6.000 |
|            |               ||            |               || (116,  4) |  4.000, 4.000 |
|            |               ||            |               || (116,  5) |  5.000, 5.000 |
|            |               ||            |               || (116,  6) |  6.000, 6.000 |
|            |               ||            |               || (117,  4) |  4.000, 4.000 |
|            |               ||            |               || (117,  5) |  5.000, 5.000 |
|            |               ||            |               || (117,  6) |  6.000, 6.000 |
|            |               ||            |               || (118,  4) |  4.000, 4.000 |
|            |               ||            |               || (118,  5) |  5.000, 5.000 |
|            |               ||            |               || (118,  6) |  6.000, 6.000 |
|            |               ||            |               || (119,  4) |  4.000, 4.000 |
|            |               ||            |               || (119,  5) |  5.000, 5.000 |
|            |               ||            |               || (119,  6) |  6.000, 6.000 |
|            |               ||            |               || (120,  4) |  4.000, 4.000 |
|            |               ||            |               || (120,  5) |  5.000, 5.000 |
|            |               ||            |               || (120,  6) |  6.000, 6.000 |
|            |               ||            |               || (121,  4) |  4.000, 4.000 |
|            |               ||            |               || (121,  5) |  5.000, 5.000 |
|            |               ||            |               || (121,  6) |  6.000, 6.000 |
|            |               ||            |               || (122,  4) |  4.000, 4.000 |
|            |               ||            |               || (122,  5) |  5.000, 5.000 |
|            |               ||            |               || (122,  6) |  6.000, 6.000 |
|            |               ||            |               || (123,  4) |  4.000, 4.000 |
|            |               ||            |               || (123,  5) |  5.000, 5.000 |
|            |               ||            |               || (123,  6) |  6.000, 6.000 |
|            |               ||            |               || (124,  4) |  4.000, 4.000 |
|            |               ||            |               || (124,  5) |  5.000, 5.000 |
|            |               ||            |               || (124,  6) |  6.000, 6.000 |
|            |               ||            |               || (125,  4) |  4.000, 4.000 |
|            |               ||            |               || (125,  5) |  5.000, 5.000 |
|            |               ||            |               || (125,  6) |  6.000, 6.000 |
|            |               ||            |               || (126,  4) |  4.000, 4.000 |
|            |               ||            |               || (126,  5) |  5.000, 5.000 |
|            |               ||            |               || (126,  6) |  6.000, 6.000 |
|            |               ||            |               || (127,  4) |  4.000, 4.000 |
|            |               ||            |               || (127,  5) |  5.000, 5.000 |
|            |               ||            |               || (127,  6) |  6.000, 6.000 |
|            |               ||            |               || (128,  4) |  4.000, 4.000 |
|            |               ||            |               || (128,  5) |  5.000, 5.000 |
|            |               ||            |               || (128,  6) |  6.000, 6.000 |
|            |               ||            |               || (129,  4) |  4.000, 4.000 |
|            |               ||            |               || (129,  5) |  5.000, 5.000 |
|            |               ||            |               || (129,  6) |  6.000, 6.000 |
|            |               ||            |               || (130,  4) |  4.000, 4.000 |
|            |               ||            |               || (130,  5) |  5.000, 5.000 |
|            |               ||            |               || (130,  6) |  6.000, 6.000 |
|            |               ||            |               || (131,  4) |  4.000, 4.000 |
|            |               ||            |               || (131,  5) |  5.000, 5.000 |
|            |               ||            |               || (131,  6) |  6.000, 6.000 |
|            |               ||            |               || (132,  4) |  4.000, 4.000 |
|            |               ||            |               || (132,  5) |  5.000, 5.000 |
|            |               ||            |               || (132,  6) |  6.000, 6.000 |
|            |               ||            |               || (133,  4) |  4.000, 4.000 |
|            |               ||            |               || (133,  5) |  5.000, 5.000 |
|            |               ||            |               || (133,  6) |  6.000, 6.000 |
|            |               ||            |               || (134,  4) |  4.000, 4.000 |
|            |               ||            |               || (134,  5) |  5.000, 5.000 |
|            |               ||            |               || (134,  6) |  6.000, 6.000 |
|            |               ||            |               || (135,  4) |  4.000, 4.000 |
|            |               ||            |               || (135,  5) |  5.000, 5.000 |
|            |               ||            |               || (135,  6) |  6.000, 6.000 |
|            |               ||            |               || (136,  4) |  4.000, 4.000 |
|            |               ||            |               || (136,  5) |  5.000, 5.000 |
|            |               ||            |               || (136,  6) |  6.000, 6.000 |
|            |               ||            |               || (137,  4) |  4.000, 4.000 |
|            |               ||            |               || (137,  5) |  5.000, 5.000 |
|            |               ||            |               || (137,  6) |  6.000, 6.000 |
|            |               ||            |               || (138,  4) |  4.000, 4.000 |
|            |               ||            |               || (138,  5) |  5.000, 5.000 |
|            |               ||            |               || (138,  6) |  6.000, 6.000 |
|            |               ||            |               || (139,  4) |  4.000, 4.000 |
|            |               ||            |               || (139,  5) |  5.000, 5.000 |
|            |               ||            |               || (139,  6) |  6.000, 6.000 |
|            |               ||            |               || (140,  4) |  4.000, 4.000 |
|            |               ||            |               || (140,  5) |  5.000, 5.000 |
|            |               ||            |               || (140,  6) |  6.000, 6.000 |
|            |               ||            |               || (141,  4) |  4.000, 4.000 |
|            |               ||            |               || (141,  5) |  5.000, 5.000 |
|            |               ||            |               || (141,  6) |  6.000, 6.000 |
|            |               ||            |               || (142,  4) |  4.000, 4.000 |
|            |               ||            |               || (142,  5) |  5.000, 5.000 |
|            |               ||            |               || (142,  6) |  6.000, 6.000 |
|            |               ||            |               || (143,  4) |  4.000, 4.000 |
|            |               ||            |               || (143,  5) |  5.000, 5.000 |
|            |               ||            |               || (143,  6) |  6.000, 6.000 |
|            |               ||            |               || (144,  4) |  4.000, 4.000 |
|            |               ||            |               || (144,  5) |  5.000, 5.000 |
|            |               ||            |               || (144,  6) |  6.000, 6.000 |
|            |               ||            |               || (145,  4) |  4.000, 4.000 |
|            |               ||            |               || (145,  5) |  5.000, 5.000 |
|            |               ||            |               || (145,  6) |  6.000, 6.000 |
|            |               ||            |               || (146,  4) |  4.000, 4.000 |
|            |               ||            |               || (146,  5) |  5.000, 5.000 |
|            |               ||            |               || (146,  6) |  6.000, 6.000 |
|            |               ||            |               || (147,  4) |  4.000, 4.000 |
|            |               ||            |               || (147,  5) |  5.000, 5.000 |
|            |               ||            |               || (147,  6) |  6.000, 6.000 |
|            |               ||            |               || (148,  4) |  4.000, 4.000 |
|            |               ||            |               || (148,  5) |  5.000, 5.000 |
|            |               ||            |               || (148,  6) |  6.000, 6.000 |
|            |               ||            |               || (149,  4) |  4.000, 4.000 |
|            |               ||            |               || (149,  5) |  5.000, 5.000 |
|            |               ||            |               || (149,  6) |  6.000, 6.000 |
|            |               ||            |               || (150,  4) |  4.000, 4.000 |
|            |               ||            |               || (150,  5) |  5.000, 5.000 |
|            |               ||            |               || (150,  6) |  6.000, 6.000 |
|            |               ||            |               || (151,  4) |  4.000, 4.000 |
|            |               ||            |               || (151,  5) |  5.000, 5.000 |
|            |               ||            |               || (151,  6) |  6.000, 6.000 |
|            |               ||            |               || (152,  4) |  4.000, 4.000 |
|            |               ||            |               || (152,  5) |  5.000, 5.000 |
|            |               ||            |               || (152,  6) |  6.000, 6.000 |
|            |               ||            |               || (153,  4) |  4.000, 4.000 |
|            |               ||            |               || (153,  5) |  5.000, 5.000 |
|            |               ||            |               || (153,  6) |  6.000, 6.000 |
|            |               ||            |               || (154,  4) |  4.000, 4.000 |
|            |               ||            |               || (154,  5) |  5.000, 5.000 |
|            |               ||            |               || (154,  6) |  6.000, 6.000 |
|            |               ||            |               || (155,  4) |  4.000, 4.000 |
|            |               ||            |               || (155,  5) |  5.000, 5.000 |
|            |               ||            |               || (155,  6) |  6.000, 6.000 |
|            |               ||            |               || (156,  4) |  4.000, 4.000 |
|            |               ||            |               || (156,  5) |  5.000, 5.000 |
|            |               ||            |               || (156,  6) |  6.000, 6.000 |
|            |               ||            |               || (157,  4) |  4.000, 4.000 |
|            |               ||            |               || (157,  5) |  5.000, 5.000 |
|            |               ||            |               || (157,  6) |  6.000, 6.000 |
|            |               ||            |               || (158,  4) |  4.000, 4.000 |
|            |               ||            |               || (158,  5) |  5.000, 5.000 |
|            |               ||            |               || (158,  6) |  6.000, 6.000 |
|            |               ||            |               || (159,  4) |  4.000, 4.000 |
|            |               ||            |               || (159,  5) |  5.000, 5.000 |
|            |               ||            |               || (159,  6) |  6.000, 6.000 |
|            |               ||            |               || (160,  4) |  4.000, 4.000 |
|            |               ||            |               || (160,  5) |  5.000, 5.000 |
|            |               ||            |               || (160,  6) |  6.000, 6.000 |
|            |               ||            |               || (161,  4) |  4.000, 4.000 |
|            |               ||            |               || (161,  5) |  5.000, 5.000 |
|            |               ||            |               || (161,  6) |  6.000, 6.000 |
|            |               ||            |               || (162,  4) |  4.000, 4.000 |
|            |               ||            |               || (162,  5) |  5.000, 5.000 |
|            |               ||            |               || (162,  6) |  6.000, 6.000 |
|            |               ||            |               || (163,  4) |  4.000, 4.000 |
|            |               ||            |               || (163,  5) |  5.000, 5.000 |
|            |               ||            |               || (163,  6) |  6.000, 6.000 |
|            |               ||            |               || (164,  4) |  4.000, 4.000 |
|            |               ||            |               || (164,  5) |  5.000, 5.000 |
|            |               ||            |               || (164,  6) |  6.000, 6.000 |
|            |               ||            |               || (165,  4) |  4.000, 4.000 |
|            |               ||            |               || (165,  5) |  5.000, 5.000 |
|            |               ||            |               || (165,  6) |  6.000, 6.000 |
|            |               ||            |               || (166,  4) |  4.000, 4.000 |
|            |               ||            |               || (166,  5) |  5.000, 5.000 |
|            |               ||            |               || (166,  6) |  6.000, 6.000 |
|            |               ||            |               || (167,  4) |  4.000, 4.000 |
|            |               ||            |               || (167,  5) |  5.000, 5.000 |
|            |               ||            |               || (167,  6) |  6.000, 6.000 |
|            |               ||            |               || (168,  4) |  4.000, 4.000 |
|            |               ||            |               || (168,  5) |  5.000, 5.000 |
|            |               ||            |               || (168,  6) |  6.000, 6.000 |
|            |               ||            |               || (169,  4) |  4.000, 4.000 |
|            |               ||            |               || (169,  5) |  5.000, 5.000 |
|            |               ||            |               || (169,  6) |  6.000, 6.000 |
|            |               ||            |               || (170,  4) |  4.000, 4.000 |
|            |               ||            |               || (170,  5) |  5.000, 5.000 |
|            |               ||            |               || (170,  6) |  6.000, 6.000 |
|            |               ||            |               || (171,  4) |  4.000, 4.000 |
|            |               ||            |               || (171,  5) |  5.000, 5.000 |
|            |               ||            |               || (171,  6) |  6.000, 6.000 |
|            |               ||            |               || (172,  4) |  4.000, 4.000 |
|            |               ||            |               || (172,  5) |  5.000, 5.000 |
|            |               ||            |               || (172,  6) |  6.000, 6.000 |
|            |               ||            |               || (173,  4) |  4.000, 4.000 |
|            |               ||            |               || (173,  5) |  5.000, 5.000 |
|            |               ||            |               || (173,  6) |  6.000, 6.000 |
|            |               ||            |               || (174,  4) |  4.000, 4.000 |
|            |               ||            |               || (174,  5) |  5.000, 5.000 |
|            |               ||            |               || (174,  6) |  6.000, 6.000 |
|            |               ||            |               || (175,  4) |  4.000, 4.000 |
|            |               ||            |               || (175,  5) |  5.000, 5.000 |
|            |               ||            |               || (175,  6) |  6.000, 6.000 |
|            |               ||            |               || (176,  4) |  4.000, 4.000 |
|            |               ||            |               || (176,  5) |  5.000, 5.000 |
|            |               ||            |               || (176,  6) |  6.000, 6.000 |
|            |               ||            |               || (177,  4) |  4.000, 4.000 |
|            |               ||            |               || (177,  5) |  5.000, 5.000 |
|            |               ||            |               || (177,  6) |  6.000, 6.000 |
|            |               ||            |               || (178,  4) |  4.000, 4.000 |
|            |               ||            |               || (178,  5) |  5.000, 5.000 |
|            |               ||            |               || (178,  6) |  6.000, 6.000 |
|            |               ||            |               || (179,  4) |  4.000, 4.000 |
|            |               ||            |               || (179,  5) |  5.000, 5.000 |
|            |               ||            |               || (179,  6) |  6.000, 6.000 |
|            |               ||            |               || (180,  4) |  4.000, 4.000 |
|            |               ||            |               || (180,  5) |  5.000, 5.000 |
|            |               ||            |               || (180,  6) |  6.000, 6.000 |
|            |               ||            |               || (181,  4) |  4.000, 4.000 |
|            |               ||            |               || (181,  5) |  5.000, 5.000 |
|            |               ||            |               || (181,  6) |  6.000, 6.000 |
|            |               ||            |               || (182,  4) |  4.000, 4.000 |
|            |               ||            |               || (182,  5) |  5.000, 5.000 |
|            |               ||            |               || (182,  6) |  6.000, 6.000 |
|            |               ||            |               || (183,  4) |  4.000, 4.000 |
|            |               ||            |               || (183,  5) |  5.000, 5.000 |
|            |               ||            |               || (183,  6) |  6.000, 6.000 |
|            |               ||            |               || (184,  4) |  4.000, 4.000 |
|            |               ||            |               || (184,  5) |  5.000, 5.000 |
|            |               ||            |               || (184,  6) |  6.000, 6.000 |
|            |               ||            |               || (185,  4) |  4.000, 4.000 |
|            |               ||            |               || (185,  5) |  5.000, 5.000 |
|            |               ||            |               || (185,  6) |  6.000, 6.000 |
|            |               ||            |               || (186,  4) |  4.000, 4.000 |
|            |               ||            |               || (186,  5) |  5.000, 5.000 |
|            |               ||            |               || (186,  6) |  6.000, 6.000 |
|            |               ||            |               || (187,  4) |  4.000, 4.000 |
|            |               ||            |               || (187,  5) |  5.000, 5.000 |
|            |               ||            |               || (187,  6) |  6.000, 6.000 |
|            |               ||            |               || (188,  4) |  4.000, 4.000 |
|            |               ||            |               || (188,  5) |  5.000, 5.000 |
|            |               ||            |               || (188,  6) |  6.000, 6.000 |
|            |               ||            |               || (189,  4) |  4.000, 4.000 |
|            |               ||            |               || (189,  5) |  5.000, 5.000 |
|            |               ||            |               || (189,  6) |  6.000, 6.000 |
|            |               ||            |               || (190,  4) |  4.000, 4.000 |
|            |               ||            |               || (190,  5) |  5.000, 5.000 |
|            |               ||            |               || (190,  6) |  6.000, 6.000 |
|            |               ||            |               || (191,  4) |  4.000, 4.000 |
|            |               ||            |               || (191,  5) |  5.000, 5.000 |
|            |               ||            |               || (191,  6) |  6.000, 6.000 |
|            |               ||            |               || (192,  4) |  4.000, 4.000 |
|            |               ||            |               || (192,  5) |  5.000, 5.000 |
|            |               ||            |               || (192,  6) |  6.000, 6.000 |
|            |               ||            |               || (193,  4) |  4.000, 4.000 |
|            |               ||            |               || (193,  5) |  5.000, 5.000 |
|            |               ||            |               || (193,  6) |  6.000, 6.000 |
|            |               ||            |               || (194,  4) |  4.000, 4.000 |
|            |               ||            |               || (194,  5) |  5.000, 5.000 |
|            |               ||            |               || (194,  6) |  6.000, 6.000 |
|            |               ||            |               || (195,  4) |  4.000, 4.000 |
|            |               ||            |               || (195,  5) |  5.000, 5.000 |
|            |               ||            |               || (195,  6) |  6.000, 6.000 |
|            |               ||            |               || (196,  4) |  4.000, 4.000 |
|            |               ||            |               || (196,  5) |  5.000, 5.000 |
|            |               ||            |               || (196,  6) |  6.000, 6.000 |
|            |               ||            |               || (197,  4) |  4.000, 4.000 |
|            |               ||            |               || (197,  5) |  5.000, 5.000 |
|            |               ||            |               || (197,  6) |  6.000, 6.000 |
|            |               ||            |               || (198,  4) |  4.000, 4.000 |
|            |               ||            |               || (198,  5) |  5.000, 5.000 |
